"date","hour","total_trips"
2024-03-24,12,495
2024-03-24,13,503
2024-03-24,14,491
2024-03-24,15,538
2024-03-24,16,518
2024-03-24,17,501
2024-03-24,18,460
2024-03-24,19,399
2024-03-24,20,287
2024-03-24,21,218
2024-03-24,22,145
2024-03-24,23,111
2024-03-25,0,68
2024-03-25,1,28
2024-03-25,2,29
2024-03-25,3,16
2024-03-25,4,21
2024-03-25,5,73
2024-03-25,6,204
2024-03-25,7,468
2024-03-25,8,881
2024-03-25,9,534
2024-03-25,10,383
2024-03-25,11,381
2024-03-25,12,491
2024-03-25,13,489
2024-03-25,14,476
2024-03-25,15,575
2024-03-25,16,909
2024-03-25,17,1370
2024-03-25,18,1115
2024-03-25,19,795
2024-03-25,20,505
2024-03-25,21,370
2024-03-25,22,258
2024-03-25,23,154
2024-03-26,0,89
2024-03-26,1,56
2024-03-26,2,32
2024-03-26,3,17
2024-03-26,4,29
2024-03-26,5,94
2024-03-26,6,229
2024-03-26,7,597
2024-03-26,8,1303
2024-03-26,9,773
2024-03-26,10,395
2024-03-26,11,323
2024-03-26,12,443
2024-03-26,13,482
2024-03-26,14,519
2024-03-26,15,615
2024-03-26,16,931
2024-03-26,17,1035
2024-03-26,18,723
2024-03-26,19,590
2024-03-26,20,358
2024-03-26,21,258
2024-03-26,22,163
2024-03-26,23,85
2024-03-27,0,60
2024-03-27,1,44
2024-03-27,2,21
2024-03-27,3,18
2024-03-27,4,26
2024-03-27,5,71
2024-03-27,6,192
2024-03-27,7,504
2024-03-27,8,1224
2024-03-27,9,736
2024-03-27,10,473
2024-03-27,11,467
2024-03-27,12,593
2024-03-27,13,567
2024-03-27,14,553
2024-03-27,15,713
2024-03-27,16,1045
2024-03-27,17,1557
2024-03-27,18,1165
2024-03-27,19,846
2024-03-27,20,581
2024-03-27,21,450
2024-03-27,22,341
2024-03-27,23,211
2024-03-28,0,103
2024-03-28,1,71
2024-03-28,2,36
2024-03-28,3,28
2024-03-28,4,20
2024-03-28,5,81
2024-03-28,6,235
2024-03-28,7,517
2024-03-28,8,1165
2024-03-28,9,794
2024-03-28,10,519
2024-03-28,11,554
2024-03-28,12,616
2024-03-28,13,680
2024-03-28,14,707
2024-03-28,15,857
2024-03-28,16,1135
2024-03-28,17,1452
2024-03-28,18,1331
2024-03-28,19,1021
2024-03-28,20,655
2024-03-28,21,468
2024-03-28,22,357
2024-03-28,23,249
2024-03-29,0,178
2024-03-29,1,122
2024-03-29,2,107
2024-03-29,3,37
2024-03-29,4,32
2024-03-29,5,30
2024-03-29,6,72
2024-03-29,7,127
2024-03-29,8,209
2024-03-29,9,329
2024-03-29,10,406
2024-03-29,11,471
2024-03-29,12,582
2024-03-29,13,616
2024-03-29,14,719
2024-03-29,15,713
2024-03-29,16,661
2024-03-29,17,658
2024-03-29,18,659
2024-03-29,19,538
2024-03-29,20,329
2024-03-29,21,242
2024-03-29,22,222
2024-03-29,23,168
2024-03-30,0,143
2024-03-30,1,112
2024-03-30,2,69
2024-03-30,3,45
2024-03-30,4,29
2024-03-30,5,34
2024-03-30,6,65
2024-03-30,7,126
2024-03-30,8,211
2024-03-30,9,405
2024-03-30,10,503
2024-03-30,11,679
2024-03-30,12,705
2024-03-30,13,753
2024-03-30,14,835
2024-03-30,15,827
2024-03-30,16,770
2024-03-30,17,754
2024-03-30,18,685
2024-03-30,19,562
2024-03-30,20,385
2024-03-30,21,358
2024-03-30,22,260
2024-03-30,23,221
2024-03-31,0,159
2024-03-31,1,116
2024-03-31,2,81
2024-03-31,3,53
2024-03-31,4,30
2024-03-31,5,27
2024-03-31,6,67
2024-03-31,7,102
2024-03-31,8,172
2024-03-31,9,303
2024-03-31,10,447
2024-03-31,11,533
2024-03-31,12,559
2024-03-31,13,640
2024-03-31,14,784
2024-03-31,15,813
2024-03-31,16,822
2024-03-31,17,856
2024-03-31,18,678
2024-03-31,19,539
2024-03-31,20,404
2024-03-31,21,289
2024-03-31,22,211
2024-03-31,23,176
2024-04-01,0,77
2024-04-01,1,54
2024-04-01,2,36
2024-04-01,3,15
2024-04-01,4,43
2024-04-01,5,78
2024-04-01,6,152
2024-04-01,7,344
2024-04-01,8,760
2024-04-01,9,581
2024-04-01,10,467
2024-04-01,11,501
2024-04-01,12,650
2024-04-01,13,749
2024-04-01,14,741
2024-04-01,15,792
2024-04-01,16,1007
2024-04-01,17,1315
2024-04-01,18,1097
2024-04-01,19,804
2024-04-01,20,522
2024-04-01,21,410
2024-04-01,22,276
2024-04-01,23,184
2024-04-02,0,95
2024-04-02,1,60
2024-04-02,2,35
2024-04-02,3,26
2024-04-02,4,28
2024-04-02,5,87
2024-04-02,6,250
2024-04-02,7,546
2024-04-02,8,1202
2024-04-02,9,678
2024-04-02,10,400
2024-04-02,11,317
2024-04-02,12,331
2024-04-02,13,280
2024-04-02,14,373
2024-04-02,15,502
2024-04-02,16,825
2024-04-02,17,1254
2024-04-02,18,941
2024-04-02,19,469
2024-04-02,20,344
2024-04-02,21,295
2024-04-02,22,154
2024-04-02,23,109
2024-04-03,0,58
2024-04-03,1,22
2024-04-03,2,16
2024-04-03,3,26
2024-04-03,4,19
2024-04-03,5,38
2024-04-03,6,117
2024-04-03,7,327
2024-04-03,8,560
2024-04-03,9,170
2024-04-03,10,117
2024-04-03,11,75
2024-04-03,12,93
2024-04-03,13,134
2024-04-03,14,140
2024-04-03,15,184
2024-04-03,16,340
2024-04-03,17,399
2024-04-03,18,370
2024-04-03,19,241
2024-04-03,20,161
2024-04-03,21,119
2024-04-03,22,68
2024-04-03,23,55
2024-04-04,0,19
2024-04-04,1,16
2024-04-04,2,11
2024-04-04,3,10
2024-04-04,4,16
2024-04-04,5,77
2024-04-04,6,184
2024-04-04,7,455
2024-04-04,8,942
2024-04-04,9,646
2024-04-04,10,290
2024-04-04,11,265
2024-04-04,12,307
2024-04-04,13,343
2024-04-04,14,384
2024-04-04,15,468
2024-04-04,16,584
2024-04-04,17,946
2024-04-04,18,821
2024-04-04,19,655
2024-04-04,20,383
2024-04-04,21,303
2024-04-04,22,245
2024-04-04,23,185
2024-04-05,0,84
2024-04-05,1,63
2024-04-05,2,42
2024-04-05,3,29
2024-04-05,4,23
2024-04-05,5,68
2024-04-05,6,192
2024-04-05,7,424
2024-04-05,8,839
2024-04-05,9,597
2024-04-05,10,457
2024-04-05,11,470
2024-04-05,12,615
2024-04-05,13,613
2024-04-05,14,598
2024-04-05,15,685
2024-04-05,16,892
2024-04-05,17,1208
2024-04-05,18,1077
2024-04-05,19,784
2024-04-05,20,527
2024-04-05,21,452
2024-04-05,22,321
2024-04-05,23,299
2024-04-06,0,190
2024-04-06,1,157
2024-04-06,2,139
2024-04-06,3,57
2024-04-06,4,47
2024-04-06,5,38
2024-04-06,6,76
2024-04-06,7,159
2024-04-06,8,331
2024-04-06,9,507
2024-04-06,10,722
2024-04-06,11,887
2024-04-06,12,1044
2024-04-06,13,1102
2024-04-06,14,1284
2024-04-06,15,1347
2024-04-06,16,1329
2024-04-06,17,1315
2024-04-06,18,1233
2024-04-06,19,1019
2024-04-06,20,648
2024-04-06,21,440
2024-04-06,22,382
2024-04-06,23,311
2024-04-07,0,267
2024-04-07,1,207
2024-04-07,2,177
2024-04-07,3,99
2024-04-07,4,52
2024-04-07,5,52
2024-04-07,6,91
2024-04-07,7,171
2024-04-07,8,284
2024-04-07,9,493
2024-04-07,10,733
2024-04-07,11,904
2024-04-07,12,1183
2024-04-07,13,1366
2024-04-07,14,1429
2024-04-07,15,1559
2024-04-07,16,1499
2024-04-07,17,1385
2024-04-07,18,1169
2024-04-07,19,952
2024-04-07,20,597
2024-04-07,21,434
2024-04-07,22,308
2024-04-07,23,236
2024-04-08,0,135
2024-04-08,1,73
2024-04-08,2,70
2024-04-08,3,37
2024-04-08,4,50
2024-04-08,5,119
2024-04-08,6,282
2024-04-08,7,566
2024-04-08,8,1039
2024-04-08,9,669
2024-04-08,10,502
2024-04-08,11,525
2024-04-08,12,688
2024-04-08,13,666
2024-04-08,14,875
2024-04-08,15,744
2024-04-08,16,848
2024-04-08,17,1397
2024-04-08,18,1243
2024-04-08,19,942
2024-04-08,20,613
2024-04-08,21,488
2024-04-08,22,434
2024-04-08,23,227
2024-04-09,0,121
2024-04-09,1,76
2024-04-09,2,38
2024-04-09,3,33
2024-04-09,4,39
2024-04-09,5,126
2024-04-09,6,276
2024-04-09,7,713
2024-04-09,8,1554
2024-04-09,9,857
2024-04-09,10,511
2024-04-09,11,594
2024-04-09,12,728
2024-04-09,13,753
2024-04-09,14,806
2024-04-09,15,975
2024-04-09,16,1422
2024-04-09,17,2316
2024-04-09,18,1868
2024-04-09,19,1298
2024-04-09,20,849
2024-04-09,21,662
2024-04-09,22,581
2024-04-09,23,251
2024-04-10,0,165
2024-04-10,1,92
2024-04-10,2,46
2024-04-10,3,30
2024-04-10,4,38
2024-04-10,5,118
2024-04-10,6,299
2024-04-10,7,789
2024-04-10,8,1729
2024-04-10,9,1002
2024-04-10,10,600
2024-04-10,11,724
2024-04-10,12,845
2024-04-10,13,802
2024-04-10,14,882
2024-04-10,15,1027
2024-04-10,16,1578
2024-04-10,17,2454
2024-04-10,18,1989
2024-04-10,19,1480
2024-04-10,20,971
2024-04-10,21,683
2024-04-10,22,481
2024-04-10,23,327
2024-04-11,0,178
2024-04-11,1,73
2024-04-11,2,48
2024-04-11,3,31
2024-04-11,4,21
2024-04-11,5,53
2024-04-11,6,105
2024-04-11,7,199
2024-04-11,8,674
2024-04-11,9,362
2024-04-11,10,218
2024-04-11,11,202
2024-04-11,12,323
2024-04-11,13,201
2024-04-11,14,271
2024-04-11,15,457
2024-04-11,16,613
2024-04-11,17,545
2024-04-11,18,544
2024-04-11,19,389
2024-04-11,20,291
2024-04-11,21,237
2024-04-11,22,262
2024-04-11,23,107
2024-04-12,0,96
2024-04-12,1,47
2024-04-12,2,21
2024-04-12,3,20
2024-04-12,4,10
2024-04-12,5,29
2024-04-12,6,91
2024-04-12,7,250
2024-04-12,8,377
2024-04-12,9,258
2024-04-12,10,223
2024-04-12,11,326
2024-04-12,12,567
2024-04-12,13,525
2024-04-12,14,609
2024-04-12,15,560
2024-04-12,16,766
2024-04-12,17,1091
2024-04-12,18,755
2024-04-12,19,605
2024-04-12,20,362
2024-04-12,21,260
2024-04-12,22,218
2024-04-12,23,210
2024-04-13,0,127
2024-04-13,1,98
2024-04-13,2,66
2024-04-13,3,31
2024-04-13,4,26
2024-04-13,5,33
2024-04-13,6,73
2024-04-13,7,127
2024-04-13,8,294
2024-04-13,9,431
2024-04-13,10,547
2024-04-13,11,639
2024-04-13,12,745
2024-04-13,13,828
2024-04-13,14,816
2024-04-13,15,894
2024-04-13,16,1035
2024-04-13,17,1118
2024-04-13,18,1113
2024-04-13,19,903
2024-04-13,20,639
2024-04-13,21,545
2024-04-13,22,405
2024-04-13,23,359
2024-04-14,0,310
2024-04-14,1,273
2024-04-14,2,184
2024-04-14,3,90
2024-04-14,4,36
2024-04-14,5,46
2024-04-14,6,74
2024-04-14,7,54
2024-04-14,8,93
2024-04-14,9,294
2024-04-14,10,557
2024-04-14,11,843
2024-04-14,12,1052
2024-04-14,13,1182
2024-04-14,14,1336
2024-04-14,15,1528
2024-04-14,16,1544
2024-04-14,17,1421
2024-04-14,18,1360
2024-04-14,19,1065
2024-04-14,20,696
2024-04-14,21,445
2024-04-14,22,340
2024-04-14,23,264
2024-04-15,0,134
2024-04-15,1,74
2024-04-15,2,47
2024-04-15,3,21
2024-04-15,4,38
2024-04-15,5,109
2024-04-15,6,277
2024-04-15,7,627
2024-04-15,8,1428
2024-04-15,9,753
2024-04-15,10,539
2024-04-15,11,602
2024-04-15,12,781
2024-04-15,13,761
2024-04-15,14,850
2024-04-15,15,998
2024-04-15,16,1431
2024-04-15,17,2147
2024-04-15,18,1812
2024-04-15,19,1372
2024-04-15,20,829
2024-04-15,21,694
2024-04-15,22,392
2024-04-15,23,228
2024-04-16,0,147
2024-04-16,1,77
2024-04-16,2,50
2024-04-16,3,32
2024-04-16,4,35
2024-04-16,5,131
2024-04-16,6,313
2024-04-16,7,794
2024-04-16,8,1781
2024-04-16,9,927
2024-04-16,10,576
2024-04-16,11,632
2024-04-16,12,815
2024-04-16,13,840
2024-04-16,14,850
2024-04-16,15,1059
2024-04-16,16,1626
2024-04-16,17,2539
2024-04-16,18,2115
2024-04-16,19,1408
2024-04-16,20,985
2024-04-16,21,749
2024-04-16,22,550
2024-04-16,23,349
2024-04-17,0,186
2024-04-17,1,70
2024-04-17,2,52
2024-04-17,3,27
2024-04-17,4,36
2024-04-17,5,105
2024-04-17,6,130
2024-04-17,7,378
2024-04-17,8,720
2024-04-17,9,259
2024-04-17,10,234
2024-04-17,11,274
2024-04-17,12,256
2024-04-17,13,343
2024-04-17,14,397
2024-04-17,15,478
2024-04-17,16,562
2024-04-17,17,975
2024-04-17,18,614
2024-04-17,19,565
2024-04-17,20,453
2024-04-17,21,377
2024-04-17,22,114
2024-04-17,23,78
2024-04-18,0,64
2024-04-18,1,46
2024-04-18,2,35
2024-04-18,3,23
2024-04-18,4,24
2024-04-18,5,109
2024-04-18,6,267
2024-04-18,7,609
2024-04-18,8,1428
2024-04-18,9,807
2024-04-18,10,486
2024-04-18,11,556
2024-04-18,12,726
2024-04-18,13,710
2024-04-18,14,696
2024-04-18,15,827
2024-04-18,16,1328
2024-04-18,17,1913
2024-04-18,18,1620
2024-04-18,19,1126
2024-04-18,20,847
2024-04-18,21,644
2024-04-18,22,452
2024-04-18,23,339
2024-04-19,0,217
2024-04-19,1,102
2024-04-19,2,84
2024-04-19,3,46
2024-04-19,4,43
2024-04-19,5,101
2024-04-19,6,256
2024-04-19,7,531
2024-04-19,8,878
2024-04-19,9,415
2024-04-19,10,261
2024-04-19,11,383
2024-04-19,12,557
2024-04-19,13,696
2024-04-19,14,792
2024-04-19,15,1004
2024-04-19,16,1372
2024-04-19,17,1865
2024-04-19,18,1792
2024-04-19,19,1399
2024-04-19,20,847
2024-04-19,21,660
2024-04-19,22,502
2024-04-19,23,402
2024-04-20,0,281
2024-04-20,1,216
2024-04-20,2,157
2024-04-20,3,81
2024-04-20,4,51
2024-04-20,5,49
2024-04-20,6,100
2024-04-20,7,241
2024-04-20,8,432
2024-04-20,9,557
2024-04-20,10,678
2024-04-20,11,668
2024-04-20,12,688
2024-04-20,13,606
2024-04-20,14,760
2024-04-20,15,858
2024-04-20,16,859
2024-04-20,17,916
2024-04-20,18,837
2024-04-20,19,755
2024-04-20,20,502
2024-04-20,21,440
2024-04-20,22,417
2024-04-20,23,339
2024-04-21,0,199
2024-04-21,1,173
2024-04-21,2,162
2024-04-21,3,79
2024-04-21,4,55
2024-04-21,5,36
2024-04-21,6,88
2024-04-21,7,180
2024-04-21,8,253
2024-04-21,9,472
2024-04-21,10,605
2024-04-21,11,694
2024-04-21,12,873
2024-04-21,13,995
2024-04-21,14,1019
2024-04-21,15,1054
2024-04-21,16,975
2024-04-21,17,862
2024-04-21,18,876
2024-04-21,19,783
2024-04-21,20,597
2024-04-21,21,414
2024-04-21,22,295
2024-04-21,23,194
2024-04-22,0,130
2024-04-22,1,57
2024-04-22,2,42
2024-04-22,3,21
2024-04-22,4,34
2024-04-22,5,106
2024-04-22,6,267
2024-04-22,7,647
2024-04-22,8,1375
2024-04-22,9,747
2024-04-22,10,538
2024-04-22,11,599
2024-04-22,12,757
2024-04-22,13,748
2024-04-22,14,783
2024-04-22,15,969
2024-04-22,16,1491
2024-04-22,17,2355
2024-04-22,18,1896
2024-04-22,19,1345
2024-04-22,20,837
2024-04-22,21,585
2024-04-22,22,421
2024-04-22,23,242
2024-04-23,0,158
2024-04-23,1,60
2024-04-23,2,44
2024-04-23,3,32
2024-04-23,4,38
2024-04-23,5,109
2024-04-23,6,309
2024-04-23,7,805
2024-04-23,8,1694
2024-04-23,9,894
2024-04-23,10,561
2024-04-23,11,626
2024-04-23,12,717
2024-04-23,13,655
2024-04-23,14,603
2024-04-23,15,798
2024-04-23,16,1208
2024-04-23,17,1861
2024-04-23,18,1486
2024-04-23,19,968
2024-04-23,20,650
2024-04-23,21,615
2024-04-23,22,374
2024-04-23,23,124
2024-04-24,0,98
2024-04-24,1,67
2024-04-24,2,34
2024-04-24,3,18
2024-04-24,4,47
2024-04-24,5,99
2024-04-24,6,319
2024-04-24,7,792
2024-04-24,8,1511
2024-04-24,9,795
2024-04-24,10,479
2024-04-24,11,495
2024-04-24,12,618
2024-04-24,13,696
2024-04-24,14,721
2024-04-24,15,980
2024-04-24,16,1522
2024-04-24,17,2255
2024-04-24,18,1905
2024-04-24,19,1318
2024-04-24,20,820
2024-04-24,21,612
2024-04-24,22,489
2024-04-24,23,285
2024-04-25,0,112
2024-04-25,1,66
2024-04-25,2,54
2024-04-25,3,29
2024-04-25,4,36
2024-04-25,5,114
2024-04-25,6,294
2024-04-25,7,700
2024-04-25,8,1467
2024-04-25,9,856
2024-04-25,10,553
2024-04-25,11,553
2024-04-25,12,737
2024-04-25,13,750
2024-04-25,14,764
2024-04-25,15,899
2024-04-25,16,1505
2024-04-25,17,2124
2024-04-25,18,1745
2024-04-25,19,1275
2024-04-25,20,783
2024-04-25,21,585
2024-04-25,22,409
2024-04-25,23,318
2024-04-26,0,164
2024-04-26,1,105
2024-04-26,2,53
2024-04-26,3,18
2024-04-26,4,33
2024-04-26,5,72
2024-04-26,6,267
2024-04-26,7,576
2024-04-26,8,1127
2024-04-26,9,792
2024-04-26,10,582
2024-04-26,11,727
2024-04-26,12,928
2024-04-26,13,960
2024-04-26,14,1059
2024-04-26,15,1244
2024-04-26,16,1563
2024-04-26,17,1909
2024-04-26,18,1816
2024-04-26,19,1304
2024-04-26,20,853
2024-04-26,21,636
2024-04-26,22,445
2024-04-26,23,359
2024-04-27,0,226
2024-04-27,1,250
2024-04-27,2,183
2024-04-27,3,81
2024-04-27,4,39
2024-04-27,5,50
2024-04-27,6,85
2024-04-27,7,138
2024-04-27,8,267
2024-04-27,9,230
2024-04-27,10,328
2024-04-27,11,336
2024-04-27,12,496
2024-04-27,13,647
2024-04-27,14,620
2024-04-27,15,453
2024-04-27,16,783
2024-04-27,17,945
2024-04-27,18,1076
2024-04-27,19,1085
2024-04-27,20,821
2024-04-27,21,504
2024-04-27,22,454
2024-04-27,23,529
2024-04-28,0,361
2024-04-28,1,244
2024-04-28,2,267
2024-04-28,3,154
2024-04-28,4,64
2024-04-28,5,57
2024-04-28,6,132
2024-04-28,7,205
2024-04-28,8,386
2024-04-28,9,635
2024-04-28,10,763
2024-04-28,11,747
2024-04-28,12,470
2024-04-28,13,398
2024-04-28,14,639
2024-04-28,15,886
2024-04-28,16,994
2024-04-28,17,1077
2024-04-28,18,1066
2024-04-28,19,885
2024-04-28,20,642
2024-04-28,21,472
2024-04-28,22,382
2024-04-28,23,239
2024-04-29,0,163
2024-04-29,1,69
2024-04-29,2,75
2024-04-29,3,20
2024-04-29,4,23
2024-04-29,5,88
2024-04-29,6,254
2024-04-29,7,591
2024-04-29,8,1307
2024-04-29,9,718
2024-04-29,10,509
2024-04-29,11,549
2024-04-29,12,621
2024-04-29,13,667
2024-04-29,14,692
2024-04-29,15,803
2024-04-29,16,1200
2024-04-29,17,1889
2024-04-29,18,1485
2024-04-29,19,1162
2024-04-29,20,777
2024-04-29,21,496
2024-04-29,22,360
2024-04-29,23,144
2024-04-30,0,120
2024-04-30,1,61
2024-04-30,2,24
2024-04-30,3,27
2024-04-30,4,32
2024-04-30,5,102
2024-04-30,6,269
2024-04-30,7,627
2024-04-30,8,1403
2024-04-30,9,761
2024-04-30,10,467
2024-04-30,11,559
2024-04-30,12,647
2024-04-30,13,631
2024-04-30,14,724
2024-04-30,15,992
2024-04-30,16,1552
2024-04-30,17,2345
2024-04-30,18,1867
2024-04-30,19,1356
2024-04-30,20,943
2024-04-30,21,781
2024-04-30,22,606
2024-04-30,23,290
2024-05-01,0,181
2024-05-01,1,92
2024-05-01,2,59
2024-05-01,3,27
2024-05-01,4,31
2024-05-01,5,113
2024-05-01,6,298
2024-05-01,7,688
2024-05-01,8,1616
2024-05-01,9,906
2024-05-01,10,547
2024-05-01,11,621
2024-05-01,12,727
2024-05-01,13,776
2024-05-01,14,882
2024-05-01,15,1092
2024-05-01,16,1702
2024-05-01,17,2525
2024-05-01,18,2099
2024-05-01,19,1487
2024-05-01,20,1105
2024-05-01,21,720
2024-05-01,22,578
2024-05-01,23,327
2024-05-02,0,179
2024-05-02,1,99
2024-05-02,2,70
2024-05-02,3,31
2024-05-02,4,49
2024-05-02,5,131
2024-05-02,6,367
2024-05-02,7,820
2024-05-02,8,1763
2024-05-02,9,926
2024-05-02,10,654
2024-05-02,11,709
2024-05-02,12,834
2024-05-02,13,999
2024-05-02,14,1042
2024-05-02,15,1291
2024-05-02,16,1847
2024-05-02,17,2783
2024-05-02,18,2371
2024-05-02,19,2073
2024-05-02,20,1245
2024-05-02,21,834
2024-05-02,22,727
2024-05-02,23,607
2024-05-03,0,237
2024-05-03,1,131
2024-05-03,2,75
2024-05-03,3,42
2024-05-03,4,53
2024-05-03,5,94
2024-05-03,6,291
2024-05-03,7,648
2024-05-03,8,1221
2024-05-03,9,860
2024-05-03,10,694
2024-05-03,11,773
2024-05-03,12,831
2024-05-03,13,830
2024-05-03,14,519
2024-05-03,15,619
2024-05-03,16,1080
2024-05-03,17,1293
2024-05-03,18,948
2024-05-03,19,669
2024-05-03,20,579
2024-05-03,21,489
2024-05-03,22,459
2024-05-03,23,412
2024-05-04,0,339
2024-05-04,1,253
2024-05-04,2,222
2024-05-04,3,99
2024-05-04,4,56
2024-05-04,5,51
2024-05-04,6,116
2024-05-04,7,286
2024-05-04,8,500
2024-05-04,9,802
2024-05-04,10,1084
2024-05-04,11,1343
2024-05-04,12,1674
2024-05-04,13,1756
2024-05-04,14,1826
2024-05-04,15,1861
2024-05-04,16,1868
2024-05-04,17,1811
2024-05-04,18,1710
2024-05-04,19,1672
2024-05-04,20,966
2024-05-04,21,720
2024-05-04,22,576
2024-05-04,23,764
2024-05-05,0,465
2024-05-05,1,324
2024-05-05,2,296
2024-05-05,3,132
2024-05-05,4,50
2024-05-05,5,43
2024-05-05,6,126
2024-05-05,7,245
2024-05-05,8,300
2024-05-05,9,619
2024-05-05,10,955
2024-05-05,11,1059
2024-05-05,12,1066
2024-05-05,13,1050
2024-05-05,14,1185
2024-05-05,15,1320
2024-05-05,16,1277
2024-05-05,17,1027
2024-05-05,18,1056
2024-05-05,19,943
2024-05-05,20,778
2024-05-05,21,527
2024-05-05,22,390
2024-05-05,23,253
2024-05-06,0,155
2024-05-06,1,93
2024-05-06,2,54
2024-05-06,3,38
2024-05-06,4,49
2024-05-06,5,120
2024-05-06,6,345
2024-05-06,7,798
2024-05-06,8,1595
2024-05-06,9,870
2024-05-06,10,591
2024-05-06,11,706
2024-05-06,12,871
2024-05-06,13,859
2024-05-06,14,963
2024-05-06,15,1188
2024-05-06,16,1747
2024-05-06,17,2627
2024-05-06,18,2136
2024-05-06,19,1633
2024-05-06,20,1374
2024-05-06,21,825
2024-05-06,22,491
2024-05-06,23,291
2024-05-07,0,142
2024-05-07,1,84
2024-05-07,2,35
2024-05-07,3,33
2024-05-07,4,46
2024-05-07,5,129
2024-05-07,6,392
2024-05-07,7,993
2024-05-07,8,1961
2024-05-07,9,1083
2024-05-07,10,624
2024-05-07,11,700
2024-05-07,12,985
2024-05-07,13,887
2024-05-07,14,1001
2024-05-07,15,1210
2024-05-07,16,1895
2024-05-07,17,2971
2024-05-07,18,2380
2024-05-07,19,1663
2024-05-07,20,1264
2024-05-07,21,907
2024-05-07,22,594
2024-05-07,23,220
2024-05-08,0,76
2024-05-08,1,24
2024-05-08,2,30
2024-05-08,3,19
2024-05-08,4,22
2024-05-08,5,114
2024-05-08,6,378
2024-05-08,7,1018
2024-05-08,8,2266
2024-05-08,9,1177
2024-05-08,10,663
2024-05-08,11,736
2024-05-08,12,819
2024-05-08,13,855
2024-05-08,14,728
2024-05-08,15,1015
2024-05-08,16,1778
2024-05-08,17,3003
2024-05-08,18,2279
2024-05-08,19,1538
2024-05-08,20,1163
2024-05-08,21,821
2024-05-08,22,545
2024-05-08,23,339
2024-05-09,0,171
2024-05-09,1,80
2024-05-09,2,52
2024-05-09,3,29
2024-05-09,4,38
2024-05-09,5,131
2024-05-09,6,404
2024-05-09,7,964
2024-05-09,8,1899
2024-05-09,9,1062
2024-05-09,10,658
2024-05-09,11,718
2024-05-09,12,956
2024-05-09,13,928
2024-05-09,14,978
2024-05-09,15,1083
2024-05-09,16,1707
2024-05-09,17,2489
2024-05-09,18,2061
2024-05-09,19,1515
2024-05-09,20,1106
2024-05-09,21,798
2024-05-09,22,605
2024-05-09,23,423
2024-05-10,0,233
2024-05-10,1,141
2024-05-10,2,52
2024-05-10,3,40
2024-05-10,4,39
2024-05-10,5,97
2024-05-10,6,348
2024-05-10,7,717
2024-05-10,8,1353
2024-05-10,9,934
2024-05-10,10,713
2024-05-10,11,805
2024-05-10,12,968
2024-05-10,13,1054
2024-05-10,14,1027
2024-05-10,15,1205
2024-05-10,16,1629
2024-05-10,17,2253
2024-05-10,18,2003
2024-05-10,19,1607
2024-05-10,20,1166
2024-05-10,21,969
2024-05-10,22,733
2024-05-10,23,579
2024-05-11,0,467
2024-05-11,1,302
2024-05-11,2,268
2024-05-11,3,130
2024-05-11,4,52
2024-05-11,5,61
2024-05-11,6,130
2024-05-11,7,308
2024-05-11,8,538
2024-05-11,9,828
2024-05-11,10,1058
2024-05-11,11,1243
2024-05-11,12,1350
2024-05-11,13,1444
2024-05-11,14,1357
2024-05-11,15,1160
2024-05-11,16,1009
2024-05-11,17,876
2024-05-11,18,1026
2024-05-11,19,903
2024-05-11,20,298
2024-05-11,21,387
2024-05-11,22,403
2024-05-11,23,346
2024-05-12,0,278
2024-05-12,1,209
2024-05-12,2,225
2024-05-12,3,127
2024-05-12,4,53
2024-05-12,5,53
2024-05-12,6,193
2024-05-12,7,387
2024-05-12,8,511
2024-05-12,9,888
2024-05-12,10,1138
2024-05-12,11,1198
2024-05-12,12,1337
2024-05-12,13,1476
2024-05-12,14,1412
2024-05-12,15,1485
2024-05-12,16,1677
2024-05-12,17,1531
2024-05-12,18,1428
2024-05-12,19,1076
2024-05-12,20,755
2024-05-12,21,579
2024-05-12,22,400
2024-05-12,23,256
2024-05-13,0,152
2024-05-13,1,76
2024-05-13,2,57
2024-05-13,3,31
2024-05-13,4,35
2024-05-13,5,93
2024-05-13,6,311
2024-05-13,7,737
2024-05-13,8,1244
2024-05-13,9,875
2024-05-13,10,564
2024-05-13,11,681
2024-05-13,12,654
2024-05-13,13,704
2024-05-13,14,741
2024-05-13,15,961
2024-05-13,16,1659
2024-05-13,17,2566
2024-05-13,18,2078
2024-05-13,19,1446
2024-05-13,20,1082
2024-05-13,21,774
2024-05-13,22,515
2024-05-13,23,316
2024-05-14,0,156
2024-05-14,1,94
2024-05-14,2,64
2024-05-14,3,31
2024-05-14,4,50
2024-05-14,5,133
2024-05-14,6,362
2024-05-14,7,736
2024-05-14,8,1663
2024-05-14,9,991
2024-05-14,10,570
2024-05-14,11,657
2024-05-14,12,908
2024-05-14,13,836
2024-05-14,14,952
2024-05-14,15,1181
2024-05-14,16,1931
2024-05-14,17,3096
2024-05-14,18,2497
2024-05-14,19,1854
2024-05-14,20,1351
2024-05-14,21,980
2024-05-14,22,683
2024-05-14,23,400
2024-05-15,0,191
2024-05-15,1,100
2024-05-15,2,64
2024-05-15,3,25
2024-05-15,4,47
2024-05-15,5,123
2024-05-15,6,415
2024-05-15,7,930
2024-05-15,8,2085
2024-05-15,9,1137
2024-05-15,10,712
2024-05-15,11,802
2024-05-15,12,977
2024-05-15,13,983
